state,X,vote,reg2,region,race_eth,age,income,edu5,sex,weight,married,pewweight,demVote,fips,postal,GESTCEN,alt.region,new.subregion,white.religion,black_pct,whitenh_pct,hispanic_pct,religion.gallup,religion.composite,turnout.acs.cvap,demTwoPartyShare,otherVoteShare,otherVote,age4,race.region,race.edu,race.age,race.sex,race.sex.edu,race.age.region,race.edu.region,race.sex.age,race.sex.region,sex.edu.region,race.subregion,edu.region,age.region,age3,edu2,age.state,edu.state,race.state
Alabama,13619,Obama,yes,south,White,65,"$30,000-$50,000",hs,Female,1.492,Married,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,42,44,41,412,443,432,414,413,123,405,23,43,4,hs,301,201,401
Alabama,15754,Obama,yes,south,White,72,"$15,000-$30,000",hs,Female,0.687,Widowed,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,42,44,41,412,443,432,414,413,123,405,23,43,4,hs,301,201,401
Alabama,8356,Obama,yes,south,Black,46,"50 to under $75,000",somecol,Female,2.791666667,Divorced,0.781229465,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,13,15,13,11,115,133,135,113,113,153,105,53,33,3,hs,201,201,1005
Alabama,15304,Romney,yes,south,White,38,"$50,000-$75,000",col,Male,0.806,Never been married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,43,41,42,42,421,423,431,422,423,213,405,13,23,1,col,101,101,401
Alabama,12764,Romney,yes,south,White,54,(Refused),postgrad,Female,0.75,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,44,43,41,414,433,434,413,413,143,405,43,33,3,col,201,101,401
Alabama,1009,Romney,yes,south,White,55,OVER $100K,col,Male,0.4604,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,41,43,42,421,433,431,423,423,213,405,13,33,3,col,201,101,401
Alabama,4667,Obama,yes,south,Black,59,"50 to under $75,000",somecol,Male,1.166666667,Widowed,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,13,15,13,12,125,133,135,123,123,253,105,53,33,3,hs,201,201,1005
Alabama,9680,Romney,yes,south,White,39,"100 to under $150,000",somecol,Female,5.125,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,43,45,42,41,415,423,435,412,413,153,405,53,23,1,hs,101,201,401
Alabama,4856,Romney,yes,south,Other,42,"50 to under $75,000",hs,Female,7.791666667,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,33,32,32,31,312,323,332,312,313,123,305,23,23,1,hs,101,201,3005
Alabama,16880,Romney,yes,south,White,42,75 to under 100 thousand,postgrad,Female,1.5542226,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,43,44,42,41,414,423,434,412,413,143,405,43,23,1,col,101,101,401
Alabama,7469,Romney,yes,south,White,31,"Less than $10,000",postgrad,Female,5.833333333,Never been married,1.632419777,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,43,44,42,41,414,423,434,412,413,143,405,43,23,1,col,101,101,401
Alabama,3225,Romney,yes,south,White,77,(VOL.) Don't know/Refused,hs,Female,1.708333333,Widowed,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,42,44,41,412,443,432,414,413,123,405,23,43,4,hs,301,201,401
Alabama,5273,Romney,yes,south,White,51,"50 to under $75,000",hs,Female,4,Divorced,1.119373562,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,42,43,41,412,433,432,413,413,123,405,23,33,3,hs,201,201,401
Alabama,7365,Romney,yes,south,White,49,"75 to under $100,000",hs,Female,4.75,Married,1.329256104,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,42,43,41,412,433,432,413,413,123,405,23,33,3,hs,201,201,401
Alabama,10903,Obama,yes,south,Black,50,"Less than $10,000",hs,Female,2.103586534,NA,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,13,12,13,11,112,133,132,113,113,123,105,23,33,3,hs,201,201,1005
Alabama,13371,Romney,yes,south,White,68,"$5,000 to $7,499",somecol,Male,0.765,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,45,44,42,425,443,435,424,423,253,405,53,43,4,hs,301,201,401
Alabama,3773,Obama,yes,south,Black,21,"20 to under $30,000",somecol,Female,3.708333333,Never been married,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,1,13,15,11,11,115,113,135,111,113,153,105,53,13,1,hs,101,201,1005
Alabama,7827,Romney,yes,south,White,67,(VOL.) Don't know/Refused,hs,Female,2.416666667,Married,0.676288193,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,42,44,41,412,443,432,414,413,123,405,23,43,4,hs,301,201,401
Alabama,9675,Obama,yes,south,Black,44,"50 to under $75,000",somecol,Female,1.791666667,NA,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,13,15,12,11,115,123,135,112,113,153,105,53,23,1,hs,101,201,1005
Alabama,15470,Obama,yes,south,Black,32,"Under $15,000",hs,Female,3.554,Never been married,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,13,12,12,11,112,123,132,112,113,123,105,23,23,1,hs,101,201,1005
Alabama,3686,Obama,yes,south,White,66,"75 to under $100,000",col,Male,1.125,Married,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,41,44,42,421,443,431,424,423,213,405,13,43,4,col,301,101,401
Alabama,364,Romney,yes,south,White,45,REFUSED,hs,Male,0.539,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,42,43,42,422,433,432,423,423,223,405,23,33,3,hs,201,201,401
Alabama,3774,Romney,yes,south,White,28,"50 to under $75,000",col,Male,2.208333333,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,1,43,41,41,42,421,413,431,421,423,213,405,13,13,1,col,101,101,401
Alabama,12134,Romney,yes,south,Hispanic,57,"$2,000 to $2,999",somecol,Male,0.266,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,23,25,23,22,225,233,235,223,223,253,205,53,33,3,hs,201,201,2005
Alabama,5932,Obama,yes,south,Black,42,"Less than $10,000",hs,Male,8.125,Never been married,2.273727547,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,13,12,12,12,122,123,132,122,123,223,105,23,23,1,hs,101,201,1005
Alabama,6725,Romney,yes,south,White,42,"$150,000 or more",hs,Female,6.416666667,Married,1.795661755,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,43,42,42,41,412,423,432,412,413,123,405,23,23,1,hs,101,201,401
Alabama,8327,Romney,yes,south,White,70,"30 to under $40,000",col,Male,1,Widowed,0.27984339,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,41,44,42,421,443,431,424,423,213,405,13,43,4,col,301,101,401
Alabama,3523,Romney,yes,south,White,69,"Less than $10,000",nohs,Female,6.5,Widowed,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,43,44,41,413,443,433,414,413,133,405,33,43,4,hs,301,201,401
Alabama,9793,Romney,yes,south,Hispanic,69,"30 to under $40,000",somecol,Female,1.375,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,23,25,24,21,215,243,235,214,213,153,205,53,43,4,hs,301,201,2005
Alabama,3226,Romney,yes,south,White,49,"50 to under $75,000",somecol,Female,3.666666667,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,45,43,41,415,433,435,413,413,153,405,53,33,3,hs,201,201,401
Alabama,358,Obama,yes,south,Black,64,LT $25K,hs,Male,0.7726,NA,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,13,12,13,12,122,133,132,123,123,223,105,23,33,3,hs,201,201,1005
Alabama,10473,Obama,yes,south,White,64,"$40,000 to under $50,000",somecol,Female,0.720565553,NA,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,45,43,41,415,433,435,413,413,153,405,53,33,3,hs,201,201,401
Alabama,5954,Obama,yes,south,White,47,"75 to under $100,000",hs,Male,5.458333333,Married,1.527478506,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,42,43,42,422,433,432,423,423,223,405,23,33,3,hs,201,201,401
Alabama,16875,Romney,yes,south,White,57,75 to under 100 thousand,col,Male,0.9326842,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,41,43,42,421,433,431,423,423,213,405,13,33,3,col,201,101,401
Alabama,4763,Obama,yes,south,Black,46,"20 to under $30,000",somecol,Male,5.041666667,Don't know/Refused (VOL.),1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,13,15,13,12,125,133,135,123,123,253,105,53,33,3,hs,201,201,1005
Alabama,15299,Romney,yes,south,White,53,"$15,000-$30,000",somecol,Female,0.489,Divorced,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,45,43,41,415,433,435,413,413,153,405,53,33,3,hs,201,201,401
Alabama,370,Obama,yes,south,Black,65,OVER $100K,somecol,Male,0.8436,NA,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,13,15,14,12,125,143,135,124,123,253,105,53,43,4,hs,301,201,1005
Alabama,6252,Obama,yes,south,White,55,"100 to under $150,000",postgrad,Female,1.5,Married,0.419765086,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,44,43,41,414,433,434,413,413,143,405,43,33,3,col,201,101,401
Alabama,15755,Obama,yes,south,Black,42,"Over $75,000",col,Female,1.03,Married,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,13,11,12,11,111,123,131,112,113,113,105,13,23,1,col,101,101,1005
Alabama,10028,Romney,yes,south,Black,48,"40 to under $50,000",hs,Male,7.458333333,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,13,12,13,12,122,133,132,123,123,223,105,23,33,3,hs,201,201,1005
Alabama,11370,Obama,yes,south,Other,28,"$20,000 to under $30,000",hs,Male,1.19706858,NA,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,1,33,32,31,32,322,313,332,321,323,223,305,23,13,1,hs,101,201,3005
Alabama,7853,Romney,yes,south,White,53,"$150,000 or more",col,Female,2.25,Married,0.629647628,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,41,43,41,411,433,431,413,413,113,405,13,33,3,col,201,101,401
Alabama,15298,Obama,yes,south,White,69,"Over $75,000",postgrad,Male,0.192,Married,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,44,44,42,424,443,434,424,423,243,405,43,43,4,col,301,101,401
Alabama,3778,Romney,yes,south,White,27,"100 to under $150,000",somecol,Male,4.916666667,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,1,43,45,41,42,425,413,435,421,423,253,405,53,13,1,hs,101,201,401
Alabama,13755,Romney,yes,south,zzz,75,Won't specify/Refused,col,Female,0.419,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,53,51,54,51,511,543,531,514,513,113,505,13,43,4,col,301,101,5005
Alabama,12136,Romney,yes,south,White,100,(Refused),hs,Female,2.238,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,42,44,41,412,443,432,414,413,123,405,23,43,4,hs,301,201,401
Alabama,3966,Other,yes,south,Other,42,"Less than $10,000",nohs,Male,7.791666667,Never been married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,1,2,33,33,32,32,323,323,333,322,323,233,305,33,23,1,hs,101,201,3005
Alabama,13329,Romney,yes,south,White,67,(Refused),hs,Female,0.754,Not Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,42,44,41,412,443,432,414,413,123,405,23,43,4,hs,301,201,401
Alabama,10030,Obama,yes,south,Black,38,"Less than $10,000",somecol,Female,3.875,NA,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,13,15,12,11,115,123,135,112,113,153,105,53,23,1,hs,101,201,1005
Alabama,360,Romney,yes,south,White,56,$75-100K,hs,Female,2.2337,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,42,43,41,412,433,432,413,413,123,405,23,33,3,hs,201,201,401
Alabama,9564,Romney,yes,south,White,71,"30 to under $40,000",hs,Female,1.416666667,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,42,44,41,412,443,432,414,413,123,405,23,43,4,hs,301,201,401
Alabama,8345,Romney,yes,south,White,40,(VOL.) Don't know/Refused,col,Female,3.333333333,Married,0.932811301,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,2,43,41,42,41,411,423,431,412,413,113,405,13,23,1,col,101,101,401
Alabama,3691,Obama,yes,south,Black,50,"75 to under $100,000",col,Female,2.791666667,Never been married,1,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,13,11,13,11,111,133,131,113,113,113,105,13,33,3,col,201,101,1005
Alabama,8056,Romney,yes,south,White,19,"10 to under $20,000",hs,Male,3.291666667,Never been married,0.92115116,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,1,43,42,41,42,422,413,432,421,423,223,405,23,13,1,hs,101,201,401
Alabama,8488,Obama,yes,south,Black,50,"10 to under $20,000",hs,Female,3.833333333,Married,1.072732997,1,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,13,12,13,11,112,133,132,113,113,123,105,23,33,3,hs,201,201,1005
Alabama,9408,Romney,yes,south,White,70,"50 to under $75,000",postgrad,Female,1.958333333,NA,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,4,43,44,44,41,414,443,434,414,413,143,405,43,43,4,col,301,101,401
Alabama,3224,Romney,yes,south,White,62,"100 to under $150,000",col,Female,1.708333333,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,41,43,41,411,433,431,413,413,113,405,13,33,3,col,201,101,401
Alabama,6705,Romney,yes,south,White,47,"100 to under $150,000",postgrad,Male,2.791666667,Married,0.781229465,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,44,43,42,424,433,434,423,423,243,405,43,33,3,col,201,101,401
Alabama,15046,Romney,yes,south,White,52,"$15,000-$30,000",somecol,Female,1.047,Divorced,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,45,43,41,415,433,435,413,413,153,405,53,33,3,hs,201,201,401
Alabama,14755,Romney,yes,south,White,57,"Over $75,000",hs,Male,1.322,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,42,43,42,422,433,432,423,423,223,405,23,33,3,hs,201,201,401
Alabama,12133,Romney,yes,south,White,62,(Refused),postgrad,Male,0.585,Married,1,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,44,43,42,424,433,434,423,423,243,405,43,33,3,col,201,101,401
Alabama,5729,Romney,yes,south,White,60,"75 to under $100,000",hs,Female,3.166666667,Married,0.886170736,0,1,AL,63,south,deep,0.565559286,0.260777752,0.700009889,0.015771743,0.85,0.707779643,0.576103222,0.387837715,0.010951446,0,3,43,42,43,41,412,433,432,413,413,123,405,23,33,3,hs,201,201,401
